"conc","patrilineal","ageb","age15","age20","age25","age30","age35","age40","yearbirth10","yearbirth1920","yearbirth1930","yearbirth1940","yearbirth1950","yearbirth1960","yearbirth1970","yearbirth1980","mi_job","highestgrade","bly","pcom","pcode","uid"
0,1,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P100","3m","FO42"
0,1,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,2,0,"P100","3m","ECTW"
0,1,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,2,1,"P10","10","MNHS"
0,1,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P10","10","85ZR"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,2,0,"P","","IEUX"
0,1,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P11","11","80DJ"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,3,0,"P","","41QT"
0,1,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","XK9R"
0,1,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,1,"P111","3h","AJ06"
0,1,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P1","1","EK7B"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","C62R"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","CL4I"
0,1,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,9,0,"P10","10","Y003"
0,1,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,1,"P11","11","3SKD"
0,1,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P110","3m","WGQM"
1,1,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","93H5"
1,1,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,3,0,"P00","00","VZSO"
0,1,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","ECU9"
1,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","JF93"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P0","0","A3Y7"
0,1,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P10","10","FE50"
0,1,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1110","4m","3S4E"
0,1,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P110","3m","OBUI"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","BVDL"
1,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,3,0,"P","","FOMV"
0,1,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P10","10","NVSJ"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","TEM5"
0,1,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P110","3m","IY0O"
0,1,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P10","10","15GG"
0,1,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P10","10","EWC9"
0,1,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P000","3h","78DT"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","VXTM"
0,1,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P000","3h","K9D0"
0,1,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","T2NI"
0,1,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P110","3m","QOLI"
0,1,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P100","3m","LFX7"
0,1,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P1100","4m","KS1E"
0,1,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P100","3m","GWG9"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P10","10","6AAD"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,6,0,"P","","E0RK"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","1QKJ"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1000","4m","M4AL"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P110","3m","DV2U"
0,0,"40",0,0,0,0,0,1,"1950",0,0,0,1,0,0,0,0,0,0,"P1000","4m","2XS8"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P0","0","3BTW"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","4ZDV"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P00","00","DTCR"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,1,0,0,"P","","EXI6"
0,0,"20",0,1,0,0,0,0,"1970",0,0,0,0,0,1,0,0,6,0,"P","","PIEW"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,6,0,"P110","3m","SCW9"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P1","1","SLZ0"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P110","3m","RJG5"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,6,0,"P","","28DP"
1,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,1,6,0,"P","","K9FO"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P110","3m","EJWJ"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,6,0,"P111","3h","UDX9"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,6,0,"P","","BTZ9"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1110","4m","K5XJ"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P10","10","OH6X"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","6R7N"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","8SBY"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P1100","4m","APSV"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,6,0,"P","","JKPD"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","P6RP"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P1100","4m","WXD2"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P100","3m","4CII"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,6,0,"P","","777N"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","5XM0"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","1XB8"
0,0,"45",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1100","4m","9QPC"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,6,0,"P","","SWL3"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1000","4m","PQU7"
0,0,"20",0,1,0,0,0,0,"1970",0,0,0,0,0,1,0,0,12,0,"P","","RWG2"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","1DW3"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","TZOG"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1100","4m","DJC6"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","JQ00"
1,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P1","1","6B47"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,12,0,"P","","6MOW"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,1,"P1","1","KEYZ"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","I7ZA"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P1100","4m","I629"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","9TQ6"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,6,0,"P","","CL2C"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P000","3h","MJ03"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,1,"P1","1","0VEC"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P100","3m","4P8Y"
1,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P0","0","YJB6"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,0,"P111","3h","11R9"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","M157"
0,0,"20",0,1,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","O11O"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,6,0,"P","","6C1R"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","7M2S"
